lambda: 0.00875376988498868, acc: 0.5088, loss:1.4256030401641635
lambda: 0.007119215394285682, acc: 0.5064, loss:1.4196778338853542
lambda: 0.0060435352365147054, acc: 0.5054, loss:1.4036918826612572
lambda: 0.01235571620080142, acc: 0.508, loss:1.4386896697531393
lambda: 0.01135765008279832, acc: 0.5056, loss:1.4364920138068362
lambda: 0.011591206914661143, acc: 0.5048, loss:1.4410987506877744
lambda: 0.0110892096540804, acc: 0.5034, loss:1.436711756887915
lambda: 0.013570833047791973, acc: 0.5004, loss:1.4547758247568912
lambda: 0.0061449326463713545, acc: 0.5084, loss:1.4117918457242846
lambda: 0.008969143508497094, acc: 0.5104, loss:1.428142371288684
